Industry,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Agriculture ,41100,40200,43200,40700,42700,36800,36100,36100,38200,37700
Production ,165700,165100,162500,172300,173300,164200,154400,158600,149800,156700
Construction ,101800,90800,102700,92600,97000,89300,91300,90000,93200,96600
Retail ,347600,333500,360200,357700,337300,345100,347300,343100,344500,345400
ICT ,31500,58900,34400,24000,35700,26900,27200,26400,27900,27800
Finance ,35500,32100,31000,30800,32400,32400,31100,33200,29800,33800
Real_Estate ,25200,18200,22700,19100,22200,18000,18800,17600,14600,13500
Professional_Service ,187100,176400,161200,166200,152900,149900,137300,143600,145800,144800
Public_Adminstration ,434900,424500,418500,423200,427600,427000,421000,425600,418600,415600
Other_Service ,81800,83200,72400,77200,73300,75500,72800,72400,68000,64200
